y	c
http://dbpedia.org/resource/Realism_(arts)	369
http://dbpedia.org/resource/Baroque	274
http://dbpedia.org/resource/Romanticism	186
http://dbpedia.org/resource/Modernism	182
http://dbpedia.org/resource/Surrealism	166
http://dbpedia.org/resource/Abstract_expressionism	162
http://dbpedia.org/resource/Expressionism	147
http://dbpedia.org/resource/Impressionism	141
http://dbpedia.org/resource/Symbolism_(arts)	114
http://dbpedia.org/resource/Abstract_art	86
http://dbpedia.org/resource/Cubism	79
http://dbpedia.org/resource/Contemporary_art	77
http://dbpedia.org/resource/Postmodernism	77
http://dbpedia.org/resource/Neoclassicism	74
http://dbpedia.org/resource/Pop_art	72
http://dbpedia.org/resource/Post-Impressionism	69
http://dbpedia.org/resource/Postmodern_literature	62
http://dbpedia.org/resource/Visual_arts_in_Israel	48
http://dbpedia.org/resource/Art_Nouveau	45
http://dbpedia.org/resource/Conceptual_art	43
http://dbpedia.org/resource/Minimalism	43
http://dbpedia.org/resource/Social_realism	40
http://dbpedia.org/resource/Mannerism	40
http://dbpedia.org/resource/Literary_realism	39
http://dbpedia.org/resource/The_Renaissance	38
http://dbpedia.org/resource/Magic_realism	37
http://dbpedia.org/resource/Literary_modernism	36
http://dbpedia.org/resource/Avant-garde	34
http://dbpedia.org/resource/Stuckism	34
http://dbpedia.org/resource/Mexican_muralism	34
http://dbpedia.org/resource/Lyrical_abstraction	33
http://dbpedia.org/resource/Dada	32
http://dbpedia.org/resource/Futurism	31
http://dbpedia.org/resource/Italian_Renaissance	31
http://dbpedia.org/resource/Naturalism_(literature)	30
http://dbpedia.org/resource/Modern_art	30
http://dbpedia.org/resource/Figurative_art	29
http://dbpedia.org/resource/Naïve_art	28
http://dbpedia.org/resource/Color_Field	25
http://dbpedia.org/resource/Socialist_realism	24
http://dbpedia.org/resource/Young_British_Artists	23
http://dbpedia.org/resource/Fauvism	23
http://dbpedia.org/resource/High_Renaissance	23
http://dbpedia.org/resource/Photorealism	22
http://dbpedia.org/resource/Rococo	22
http://dbpedia.org/resource/Geometric_abstraction	22
http://dbpedia.org/resource/Pre-Raphaelite_Brotherhood	22
http://dbpedia.org/resource/Constructivism_(art)	21
http://dbpedia.org/resource/Parnassianism	21
http://dbpedia.org/resource/Lowbrow_(art_movement)	21
http://dbpedia.org/resource/American_Impressionism	21
http://dbpedia.org/resource/Kannada_literature	20
http://dbpedia.org/resource/Feminism	19
http://dbpedia.org/resource/Nihonga	18
http://dbpedia.org/resource/Academic_art	18
http://dbpedia.org/resource/Tachisme	17
http://dbpedia.org/resource/Arts_and_Crafts_movement	17
http://dbpedia.org/resource/Neo-romanticism	17
http://dbpedia.org/resource/Dutch_Golden_Age_painting	17
http://dbpedia.org/resource/Classicism	17
http://dbpedia.org/resource/Tonalism	17
http://dbpedia.org/resource/Beat_Generation	17
http://dbpedia.org/resource/Albanian_National_Awakening	16
http://dbpedia.org/resource/Decadent_movement	16
http://dbpedia.org/resource/Art_Deco	16
http://dbpedia.org/resource/Danish_Golden_Age	15
http://dbpedia.org/resource/Hard-edge_painting	15
http://dbpedia.org/resource/Op_art	15
http://dbpedia.org/resource/Environmental_art	15
http://dbpedia.org/resource/American_modernism	14
http://dbpedia.org/resource/Postminimalism	14
http://dbpedia.org/resource/Neo-expressionism	14
http://dbpedia.org/resource/Hudson_River_School	13
http://dbpedia.org/resource/Aestheticism	13
http://dbpedia.org/resource/Bengali_renaissance	13
http://dbpedia.org/resource/Installation_art	12
http://dbpedia.org/resource/Nouveau_réalisme	12
http://dbpedia.org/resource/Yōga_(art)	12
http://dbpedia.org/resource/Performance_art	12
http://dbpedia.org/resource/Street_art	12
http://dbpedia.org/resource/Modern_dance	11
http://dbpedia.org/resource/Land_art	11
http://dbpedia.org/resource/Primitivism	11
http://dbpedia.org/resource/Precisionism	11
http://dbpedia.org/resource/Regionalism_(art)	11
http://dbpedia.org/resource/Fluxus	11
http://dbpedia.org/resource/Kinetic_art	10
http://dbpedia.org/resource/Concrete_art	10
http://dbpedia.org/resource/Bay_Area_Figurative_Movement	10
http://dbpedia.org/resource/Neorealism_(art)	10
http://dbpedia.org/resource/Neo-impressionism	10
http://dbpedia.org/resource/Sburătorul	10
http://dbpedia.org/resource/Outsider_art	10
http://dbpedia.org/resource/Genre_art	10
http://dbpedia.org/resource/New_York_School_(art)	10
http://dbpedia.org/resource/Fantasy	10
http://dbpedia.org/resource/Modernismo	9
http://dbpedia.org/resource/Orientalism	9
http://dbpedia.org/resource/American_realism	9
http://dbpedia.org/resource/Landscape_painting	9
http://dbpedia.org/resource/Contemporary_history	9
http://dbpedia.org/resource/Existentialism	9
http://dbpedia.org/resource/Hyperreality	9
http://dbpedia.org/resource/Golden_Age_of_Detective_Fiction	9
http://dbpedia.org/resource/Native_American_Renaissance	9
http://dbpedia.org/resource/Digital_art	9
http://dbpedia.org/resource/Bauhaus	9
http://dbpedia.org/resource/Hyperrealism_(visual_arts)	9
http://dbpedia.org/resource/Arte_Povera	9
http://dbpedia.org/resource/Feminist_art	9
http://dbpedia.org/resource/Progressive_Writers'_Movement	8
http://dbpedia.org/resource/Harlem_Renaissance	8
http://dbpedia.org/resource/Latin_American_Boom	8
http://dbpedia.org/resource/New_Wave_science_fiction	8
http://dbpedia.org/resource/Baroque_painting	8
http://dbpedia.org/resource/Science_fiction	8
http://dbpedia.org/resource/New_Journalism	8
http://dbpedia.org/resource/History_painting	8
