Abakwariga	<http://vocab.getty.edu/ulan/500202778>	<http://vocab.getty.edu/aat/300263392>	Uke
Abbasid	<http://vocab.getty.edu/ulan/500202779>	<http://vocab.getty.edu/aat/300021521>	
Abbevillian	<http://vocab.getty.edu/ulan/500202780>	<http://vocab.getty.edu/aat/300019285>	Chellean
Abe	<http://vocab.getty.edu/ulan/500202781>	<http://vocab.getty.edu/aat/300263083>	Abbe (African style); Abbey (African style); Abé; Abi; Aby
Abidji	<http://vocab.getty.edu/ulan/500202782>	<http://vocab.getty.edu/aat/300263049>	Abiji; Adidji; Ari (Guinea Coast style); Aris (Guinea Coast style)
Abipón	<http://vocab.getty.edu/ulan/500294405>	<http://vocab.getty.edu/aat/300017962>	
Abnaki	<http://vocab.getty.edu/ulan/500202783>	<http://vocab.getty.edu/aat/300017543>	Abenaki; Abnakis; Kennebec; Wabanaki
Abruzzese	<http://vocab.getty.edu/ulan/500202784>	<http://vocab.getty.edu/aat/300387721>	
Abure	<http://vocab.getty.edu/ulan/500202786>	<http://vocab.getty.edu/aat/300263087>	Abonwa; Abouré; Abule; Aburé; Agoua; Akaplass; Akaples; Akapless; Asoko; Compa (African style); Essouma; Esuma
Achaean	<http://vocab.getty.edu/ulan/500355224>	<http://vocab.getty.edu/aat/300386025>	Achaian; Achaios
Achaemenid	<http://vocab.getty.edu/ulan/500202787>	<http://vocab.getty.edu/aat/300019946>	Achaemenian
Achagua	<http://vocab.getty.edu/ulan/500294398>	<http://vocab.getty.edu/aat/300017952>	
Acheulian	<http://vocab.getty.edu/ulan/500202788>	<http://vocab.getty.edu/aat/300019288>	Acheulean
Achomawi	<http://vocab.getty.edu/ulan/500202789>	<http://vocab.getty.edu/aat/300017500>	
Acolapissa	<http://vocab.getty.edu/ulan/500202790>	<http://vocab.getty.edu/aat/300191137>	Colapissa; Coulapissa; Aqueloupissa; Kolapissa
Adangme	<http://vocab.getty.edu/ulan/500202793>	<http://vocab.getty.edu/aat/300016015>	Adampa; Adampe; Adangbe; Adangbé; Adanme; Dangme
Adarawa	<http://vocab.getty.edu/ulan/500202794>	<http://vocab.getty.edu/aat/300015889>	
Adivasi	<http://vocab.getty.edu/ulan/500355227>	<http://vocab.getty.edu/aat/300386028>	Adivasis
Aegean	<http://vocab.getty.edu/ulan/500202796>	<http://vocab.getty.edu/aat/300020059>	
Aeolian	<http://vocab.getty.edu/ulan/500355225>	<http://vocab.getty.edu/aat/300386026>	Aeölian; Eolien; Eolian
