Abua	<http://vocab.getty.edu/ulan/500202785>
Acoma Pueblo	<http://vocab.getty.edu/ulan/500202791>
Adamawa	<http://vocab.getty.edu/ulan/500202792>
Adja	<http://vocab.getty.edu/ulan/500202795>
Adventist	<http://vocab.getty.edu/ulan/500355064>
Afghan	<http://vocab.getty.edu/ulan/500125292>
African	<http://vocab.getty.edu/ulan/500125245>
African-American	<http://vocab.getty.edu/ulan/500202799>
Aguada	<http://vocab.getty.edu/ulan/500202802>
Ahtena	<http://vocab.getty.edu/ulan/500202804>
Ainu	<http://vocab.getty.edu/ulan/500353699>
Aizo	<http://vocab.getty.edu/ulan/500202806>
Aka (Mbuti)	<http://vocab.getty.edu/ulan/500202808>
Aka (Pygmy)	<http://vocab.getty.edu/ulan/500202809>
Akan	<http://vocab.getty.edu/ulan/500202810>
Akkadian	<http://vocab.getty.edu/ulan/500202811>
Albanian	<http://vocab.getty.edu/ulan/500125293>
Albertan	<http://vocab.getty.edu/ulan/500202817>
Aleut	<http://vocab.getty.edu/ulan/500202818>
Alpine	<http://vocab.getty.edu/ulan/500202823>
Alsatian	<http://vocab.getty.edu/ulan/500125291>
Amahuaca	<http://vocab.getty.edu/ulan/500294345>
Amazonian	<http://vocab.getty.edu/ulan/500202827>
Amba	<http://vocab.getty.edu/ulan/500202828>
Ambo (Southern African)	<http://vocab.getty.edu/ulan/500202829>
Ambrym	<http://vocab.getty.edu/ulan/500202830>
American	<http://vocab.getty.edu/ulan/500125216>
Anabaptist	<http://vocab.getty.edu/ulan/500355069>
Anatolian	<http://vocab.getty.edu/ulan/500202836>
Ancient Bulgarian	<http://vocab.getty.edu/ulan/500125221>
Ancient Egyptian	<http://vocab.getty.edu/ulan/500202838>
Ancient Greek	<http://vocab.getty.edu/ulan/500202840>
Ancient Macedonian	<http://vocab.getty.edu/ulan/500202842>
Ancient Roman	<http://vocab.getty.edu/ulan/500202843>
Ancient Umbrian	<http://vocab.getty.edu/ulan/500355572>
Andhra Karnata	<http://vocab.getty.edu/ulan/500354796>
Anglican	<http://vocab.getty.edu/ulan/500355070>
Anglo-Saxon	<http://vocab.getty.edu/ulan/500354814>
